Step: 100000 | Array size: 1000000
Step: 200000 | Array size: 2000000
Step: 300000 | Array size: 3000000
Step: 400000 | Array size: 4000000
Step: 500000 | Array size: 5000000
Step: 600000 | Array size: 6000000
Step: 700000 | Array size: 7000000
Step: 800000 | Array size: 8000000
Step: 900000 | Array size: 9000000
Step: 1000000 | Array size: 10000000
Step: 1100000 | Array size: 11000000
Step: 1200000 | Array size: 12000000
Step: 1300000 | Array size: 13000000
Step: 1400000 | Array size: 14000000
Step: 1500000 | Array size: 15000000
Step: 1600000 | Array size: 16000000
Step: 1700000 | Array size: 17000000
Step: 1800000 | Array size: 18000000
Step: 1900000 | Array size: 19000000
Step: 2000000 | Array size: 20000000
Step: 2100000 | Array size: 21000000
Step: 2200000 | Array size: 22000000
Step: 2300000 | Array size: 23000000
Step: 2400000 | Array size: 24000000
Step: 2500000 | Array size: 25000000
Step: 2600000 | Array size: 26000000
Step: 2700000 | Array size: 27000000
Step: 2800000 | Array size: 28000000
Step: 2900000 | Array size: 29000000
Step: 3000000 | Array size: 30000000
Step: 3100000 | Array size: 31000000
Step: 3200000 | Array size: 32000000
Step: 3300000 | Array size: 33000000
Step: 3400000 | Array size: 34000000
Step: 3500000 | Array size: 35000000
Step: 3600000 | Array size: 36000000
Step: 3700000 | Array size: 37000000
Step: 3800000 | Array size: 38000000
Step: 3900000 | Array size: 39000000
Step: 4000000 | Array size: 40000000
Step: 4100000 | Array size: 41000000
Step: 4200000 | Array size: 42000000
Step: 4300000 | Array size: 43000000
Step: 4400000 | Array size: 44000000
Step: 4500000 | Array size: 45000000
Step: 4600000 | Array size: 46000000
Step: 4700000 | Array size: 47000000
Step: 4800000 | Array size: 48000000
Step: 4900000 | Array size: 49000000
Step: 5000000 | Array size: 50000000
Step: 5100000 | Array size: 51000000
Step: 5200000 | Array size: 52000000
Step: 5300000 | Array size: 53000000
Step: 5400000 | Array size: 54000000
Step: 5500000 | Array size: 55000000
Step: 5600000 | Array size: 56000000
Step: 5700000 | Array size: 57000000
Step: 5800000 | Array size: 58000000
Step: 5900000 | Array size: 59000000
Step: 6000000 | Array size: 60000000
Step: 6100000 | Array size: 61000000
Step: 6200000 | Array size: 62000000
Step: 6300000 | Array size: 63000000
Step: 6400000 | Array size: 64000000
Step: 6500000 | Array size: 65000000
Step: 6600000 | Array size: 66000000
Step: 6700000 | Array size: 67000000
Step: 6800000 | Array size: 68000000
Step: 6900000 | Array size: 69000000
Step: 7000000 | Array size: 70000000
Step: 7100000 | Array size: 71000000
Step: 7200000 | Array size: 72000000
Step: 7300000 | Array size: 73000000
Step: 7400000 | Array size: 74000000
Step: 7500000 | Array size: 75000000
Step: 7600000 | Array size: 76000000
Step: 7700000 | Array size: 77000000
Step: 7800000 | Array size: 78000000
Step: 7900000 | Array size: 79000000
Step: 8000000 | Array size: 80000000
Step: 8100000 | Array size: 81000000
Step: 8200000 | Array size: 82000000
Step: 8300000 | Array size: 83000000
Step: 8400000 | Array size: 84000000
Step: 8500000 | Array size: 85000000
Step: 8600000 | Array size: 86000000
Step: 8700000 | Array size: 87000000
Step: 8800000 | Array size: 88000000
Step: 8900000 | Array size: 89000000
Step: 9000000 | Array size: 90000000
Step: 9100000 | Array size: 91000000
Step: 9200000 | Array size: 92000000
Step: 9300000 | Array size: 93000000
Step: 9400000 | Array size: 94000000
Step: 9500000 | Array size: 95000000
Step: 9600000 | Array size: 96000000
Step: 9700000 | Array size: 97000000
Step: 9800000 | Array size: 98000000
Step: 9900000 | Array size: 99000000
Step: 10000000 | Array size: 100000000
Step: 10100000 | Array size: 101000000
Step: 10200000 | Array size: 102000000
Step: 10300000 | Array size: 103000000
Step: 10400000 | Array size: 104000000
Step: 10500000 | Array size: 105000000
Step: 10600000 | Array size: 106000000
Step: 10700000 | Array size: 107000000
Step: 10800000 | Array size: 108000000
Step: 10900000 | Array size: 109000000
Step: 11000000 | Array size: 110000000
Step: 11100000 | Array size: 111000000
