Step: 100000 | Array size: 1000000
Step: 200000 | Array size: 2000000
Step: 300000 | Array size: 3000000
Step: 400000 | Array size: 4000000
Step: 500000 | Array size: 5000000
Step: 600000 | Array size: 6000000
Step: 700000 | Array size: 7000000
Step: 800000 | Array size: 8000000
Step: 900000 | Array size: 9000000
Step: 1000000 | Array size: 10000000
Step: 1100000 | Array size: 11000000
Step: 1200000 | Array size: 12000000
Step: 1300000 | Array size: 13000000
Step: 1400000 | Array size: 14000000
Step: 1500000 | Array size: 15000000
Step: 1600000 | Array size: 16000000
Step: 1700000 | Array size: 17000000
Step: 1800000 | Array size: 18000000
Step: 1900000 | Array size: 19000000
Step: 2000000 | Array size: 20000000
Step: 2100000 | Array size: 21000000
Step: 2200000 | Array size: 22000000
Step: 2300000 | Array size: 23000000
Step: 2400000 | Array size: 24000000
Step: 2500000 | Array size: 25000000
Step: 2600000 | Array size: 26000000
Step: 2700000 | Array size: 27000000
Step: 2800000 | Array size: 28000000
Step: 2900000 | Array size: 29000000
Step: 3000000 | Array size: 30000000
Step: 3100000 | Array size: 31000000
Step: 3200000 | Array size: 32000000
Step: 3300000 | Array size: 33000000
Step: 3400000 | Array size: 34000000
Step: 3500000 | Array size: 35000000
Step: 3600000 | Array size: 36000000
Step: 3700000 | Array size: 37000000
Step: 3800000 | Array size: 38000000
Step: 3900000 | Array size: 39000000
Step: 4000000 | Array size: 40000000
Step: 4100000 | Array size: 41000000
Step: 4200000 | Array size: 42000000
Step: 4300000 | Array size: 43000000
Step: 4400000 | Array size: 44000000
Step: 4500000 | Array size: 45000000
Step: 4600000 | Array size: 46000000
Step: 4700000 | Array size: 47000000
Step: 4800000 | Array size: 48000000
Step: 4900000 | Array size: 49000000
Step: 5000000 | Array size: 50000000
Step: 5100000 | Array size: 51000000
Step: 5200000 | Array size: 52000000
Step: 5300000 | Array size: 53000000
Step: 5400000 | Array size: 54000000
Step: 5500000 | Array size: 55000000
